legislator,volunteer,date,typeOfContact,notes,support,state
Charles Isenhart,Brendan Hodis,02/13/17,legislator emailed me back,"He wrote:

""Thank you for your e-mail and for your commitment to restoring election integrity.

Chuck Isenhart""",2 - Not Confirmed,IA
Charles Isenhart,Brendan Hodis,02/13/17,Correction to my previous post,"Charles Isenhart represents district 100, not 13 as my previous entry indicated.",N/A,IA
Steven Holt,Brendan Hodis,02/13/17,legislator's assistant emailed me back,"She wrote:

""Thank you for your email, Brendan. Representative Holt will take your concerns into consideration.



MacKenzie Dreeszen

Legislative Assistant""",N/A,IA
Stan Gustafson,Brendan Hodis,02/13/17,legislator emailed me back,"He wrote:

""Thank you for your input on this issue.



Representative Gustafson

Iowa House District 25""",2 - Not Confirmed,IA
Amy Nielsen,Brendan Hodis,02/13/17,legislator emailed me back,"She wrote:

""Brendan,

Thank you expressing your interest in this resolution. If the bill comes to the floor I will surely vote for it.

Best,
Representative Amy Nielsen
District 77""",1 - Supportive,IA
Art Staed,Wes Clemens,02/14/17,Phone call with Legislator,"Talked with Legislator, he will make his decision based upon how much support it has when it comes to a vote. He is also concerned about the wording, but couldn't tell me why. He also said he was worried about Republican (R) control, I said it doesn't matter because it is cross-partisan and that we have been gaining (R) support. I also reminded him that he had supported similar in the past. I asked for a meeting and he declined to meet. ",2 - Not Confirmed,IA
Andy McKean,Wesley Clemens,02/14/17,Left voicemail,"Follow-up call, Left voicemail, said I was wanting to touch base about any Q's and concern, also requested a meeting, waiting for return phone call or email a this time.",2 - Not Confirmed,IA
Bob Kressig,Brendan Hodis,02/13/17,legislator emailed me back,"He wrote:

""Brendan thanks for the email. I will support the resolution but I doubt that the republicans will allow it to come up for a vote. Thanks and please keep in touch.""",1 - Supportive,IA
Bobby Kaufmann,Brendan Hodis,02/14/17,Left voicemail,Asked him to support HJR8.,N/A,IA
John Willis,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Megan Jones,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Daniel Huseman,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Chuck Holz,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link, received back advising to set up a meeting when i get to the capitol",N/A,IA
Jim Carlin,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Tedd Grassman,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Terry Baxter,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Helen Miller,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Mike Sexton,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Gary Worthan,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Brian Best,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Chris Hall,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Timothy Kacena,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link, received response email advising to meet any time after 10.",N/A,IA
Mary Ann Hanusa,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Matt Windschitl,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Steven Holt,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link, Received email back asking if we would like to meet in person or speak on phone sent email back asking to meet in person on thursday",N/A,IA
Ralph Watts,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Clel Baudler,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Tom Moore,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Greg Forristall,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
David Sieck,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Cecil Dolecheck,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Stan Gustafson,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Scott Ourth,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Joel Fry,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Greg Heartsill,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Wes Breckenridge,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Zach Nunn,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Rick Olson,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Brian Meyer,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Bruce Hunter,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Ako Abdul-Samad,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
John Landon,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Kevin Koester,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Jake Highfill,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
John Forbes,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Jo Oldson,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Peter Cownie,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Chris Hagenow,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Rod Taylor,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Beth Wessel-Kroeschell,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Lisa Heddens,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Chip Baltimore,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Rob Bacon,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Dave Deyoe,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Pat Grassley,Nick Murphy,02/14/17,Emailed legislator,"asked for meeting on 2/16 CAD and for support for HJR8, included link",N/A,IA
Greg Forristall,Nick Murphy,02/15/17,Emailed legislator,"Received email advising although he has supported article V conventions, however would prefer to pass this year. ",3 - Unsupportive,IA
Greg Foreistall,Nick Murphy,02/15/17,Emailed legislator,Sent response email to rep Forristall asking why is choosing not to support and asked to speak with him again ,N/A,IA
Jane Bloomingdale,Nick Murphy ,02/15/17,Emailed legislator,Sent email asking to support HJR8 and requested an audience at tomorrow CAD,N/A,IA
Linda Upmeyer,Nick Murphy ,02/15/17,Emailed legislator,Sent email asking to support HJR8 and requested an audience at tomorrow CAD,N/A,IA
Kristi Hager,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8. 

Also thanked her for meeting me last month. ",2 - Not Confirmed,IA
Shannon Lundgren,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8. ",N/A,IA
Andy mckean,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Walt Rogers,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Ras Smith,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Sandy Salmon ,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Bruce Bearinger,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Art Staed,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",2 - Not Confirmed,IA
Ashley Hinson,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",2 - Not Confirmed,IA
Ken Rizer,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Todd Taylor,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Mark Smith,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Mark Smith,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Mark Smith,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Bobby Kaufman,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8, included link for HJR8",N/A,IA
Dawn Pettengill,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Jared Klein,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Larry Sheets,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Mary Gaskill,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Kurt Hanson,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Jerry Kearns,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Vicki Lensing,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Mary Masher,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Dennis Cohoon,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
David Kerr,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Cindy Wickler,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Gary Carlson,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Ross Paustion,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Phyllis Theade,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Gary Mohr ,Nick Murphy ,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Louis Zumbach ,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Louis Zumbach ,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Lee Hein,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Charles isenhart ,Nick Murphy,02/15/17,Emailed legislator,"Sent email asking to support HJR8 and requested an audience at tomorrow CAD, included link for HJR8",N/A,IA
Charles Isenhart,Nick Murphy,02/15/17,Emailed legislator,"Email from rep Isenhart

Nicholas, I am familiar with your group and the good work you are doing. I told Rep. Kelley last year that I would co-sponsor a bi-partisan House bill or any bill approved by the Senate. That is where I am still at. 

Sent response advising our resolution is bi partisan and if he has recommendations for republicans we could reach out to and ask for. ",1 - Supportive,IA
Terry Baxteer,Brendan Hodis,02/15/17,legislator emailed me back,"He wrote: ""Thank you for your email. I support fair elections. """,2 - Not Confirmed,IA
Jerry Kearns,Brendan Hodis,02/16/17,Met Legislator,"Spoke with the representative at the capitol. He expressed support for the general idea, but was concerned that a convention might be unpredictable. He said he would speak with Liz Bennett. We should follow up.",2 - Not Confirmed,IA
David Kerr,Brendan Hodis,02/16/17,Met with staff,Left a message with his staff requesting that we talk about HJR 8. Included my phone number and email. We should follow up.,2 - Not Confirmed,IA
Zach Nunn,Nick Murphy,02/16/17,Met Legislator,Wants a balanced budget amendment. Does not want to be the first republican to openly support HJR8.,2 - Not Confirmed,IA
Kevin Koester,Brendan Hodis,02/16/17,Met with staff,Asked that the representative contact me to speak about HJR8. Left a phone number and email. Let's follow up.,2 - Not Confirmed,IA
Monica Kurth,Brendan Hodis,02/16/17,Met Legislator,"Spoke with her at the capitol. She said she would ""certainly support"" the bill were it to be brought to a vote.",1 - Supportive,IA
Walt Rogers,Brendan Hodis,02/16/17,Met with staff,Asked to discuss HJR8. Left a phone number. Need to follow up.,N/A,IA
Dawn Pettengill,Brendan Hodis,02/16/17,Met with staff,Requested to speak with the representative about HJR8. Left my email address. Need to follow up.,N/A,IA
Larry Sheets,Brendan Hodis,02/16/17,Met with staff,"At the capitol, asked to speak about HJR8. His staff said he said he supports ""article V."" He might be able to meet at the capitol later today.",N/A,IA
Jim Carlin,Nick Murphy,02/16/17,Met Legislator,Talk to representative Carline he believes that there is an issue with money in politics he believes that the unapplied convention can work his main concern is liberal media muffling the voice of the conservative,2 - Not Confirmed,IA
Andy McKean,Armando Cardenas,02/16/17,Met with staff,"Per Liz Bennett, interested in HJR8 and would like more info and a one-on-one to discuss. Left a message with his staff and a callback number. Need to follow up.",2 - Not Confirmed,IA
Bobby Kaufmann,Armando Cardenas,02/16/17,Met Legislator,Met with Bobby. Has information on his desk. Will follow up with Liz and Armando.,2 - Not Confirmed,IA
Jim Carlin,Brendan Hodis,03/01/17,Met Legislator,"He says the media is, for the most part, left wing and gives the democrats a free voice. He says he needs PAC money to compete.",2 - Not Confirmed,IA
Gary Worthan,Brendan and Eric ,03/01/17,Met Legislator,Was concerned about a runaway convention but said he did not know much about article V. Asked us to send info about limited conventions.,2 - Not Confirmed,IA
Gary Worthan,Brendan Hodis,03/09/17,Emailed legislator,Follow-up email to last week's conversation at the capitol. Sent the DOJ report on limiting article V conventions.,2 - Not Confirmed,IA
David Kerr,Nathan Heubner,03/27/17,Emailed legislator,I sent an email to david.kerr@legis.iowa.gov requesting a face-to-face meeting with him.,N/A,IA
David Kerr,Nathan Heubner,03/29/17,Emailed legislator,Rep. Kerr replied to my email about meeting. He stated that he was too busy right now to meet in person but that someone from Wolf PAC had recently dropped off a packet of information to review. I replied to his email to ask if we could meet when he is on break and to inform him that he could call me at any time to discuss the Wolf PAC materials. ,N/A,IA
Andy Mckean ,Wes Clemens ,03/29/17,Left voicemail,Left message ,2 - Not Confirmed,IA
Andy Mckean ,Wes Clemens ,03/29/17,Emailed legislator,Sent follow up email ,2 - Not Confirmed,IA
John Willls,Edward Conway,03/29/17,Emailed legislator,"This is his response to our proposal:

I am in favor of something like this. I have and will support the Article V Convention of States that will, or could, do something like this as well.

John H. Wills
State Representative
House District 1
712-330-9492",1 - Supportive,IA
Bobby Kaufmann ,Wes Clemens ,04/08/17,Met Legislator,Attended public forum. Got verbal commitment on video. Posted in Google Group under public forums thread with the Facebook video link. He says he will talk to Liz Bennett on Monday 4/10/17.,1 - Supportive,IA
Dennis Cohoon,Nathan Heubner,04/11/17,Emailed legislator,I sent Rep. Cohoon an email requesting a sit down meeting with him. ,N/A,IA
Dennis Cohoon,Nathan Heubner,06/21/17,Emailed legislator,"I attempted to contact Rep. Cohoon again, this time sending a message to his Facebook account. ",2 - Not Confirmed,IA
Liz Bennett ,Armando Cardenas,06/09/17,Met Legislator,met with Rep Bennett and advised her to introduce the original resolution from our folder. Because it is more bipartisan and will get more support. it is also the same as the other ones passed in the 5 states. She expressed that she needs co sponsors asap. ,1 - Supportive,IA
Todd Prichard,Wes Clemens ,07/15/17,Met Legislator,"Met Rep. At CCI Action in Des Moines. He already supports, but he has agreed to co-sponsorship. ",1 - Supportive,IA
Dennis Cohoon,Nathan Heubner,08/16/17,Emailed legislator,"I emailed Rep. Cohoon again to request a sit-down meeting with him. I plan to attend Dem meetings at our local IBEW to see if I can run into him there, as I hear he frequently attends these meetings.",N/A,IA
Dave Heaton ,Armando Cardenas ,08/20/17,Met Legislator,He stated that he agrees with the supreme court's decision and did not want change that. He then cut me off.,2 - Not Confirmed,IA
Mari Anderson ,Wesley Clemens,09/30/17,Met Legislator,Talked to her for a moment and thanked her for her support of the Free and Fair Elections Resolution. ,1 - Supportive,IA
Mary Mascher,Jason Daniels,10/10/17,Left voicemail,"Left a voicemail for Representative Mascher, introducing myself and giving my contact information, as well as some basic information on our goals. Will reach back out in a couple days to see if I can get her.",N/A,IA
Vicki Lensing,Wesley Clemens,10/15/17,Met Legislator,Thanked her for support.,1 - Supportive,IA
Mary Mascher,Jason Daniels,09/14/88,Emailed legislator,E-mailed Representative Mascher to introduce myself and let her know what I was interested in. I left a message last week but did not hear back (didn't mention this in the e-mail).,N/A,IA
Liz Bennett,Jason Daniels,10/19/17,Emailed legislator,E-mailed Liz Bennett thanking her for sponsoring our resolution. Also introduced myself as new Wolf-PAC volunteer.,N/A,IA
Mary Mascher,Jason Daniels,10/23/17,Received e-mail response,"I had e-mailed Representative Mascher late last week and got a response from her. She seemed generally receptive to our ideas, saying that, while complicated, the fight for free elections should begin with overturning the Supreme Court decision on Citizens United (will respond to her to get her thoughts on a Constitutional Amendment). She concluded by saying that we have a great deal of work to do on the subject and that it will take ""the efforts of many to accomplish this."" Generally speaking, I thought her response seemed positive, but this was also over e-mail and her language was kind of generic at times. I am going to mark her as ""Supportive"" below, but I will follow back up with her to get a little more specific and hopefully set something up with her.",1 - Supportive,IA
Dave Heaton,Armando Cardenas,10/26/17,Phone call with Legislator,He does not support our resolution. I would like to keep on him.. He thinks money in politics is bad but does not know what to do. ,3 - Unsupportive,IA
Todd Taylor,John Killean,10/19/17,Emailed legislator,"I wrote that we are Citizens' taking action to restore representative democracy with a 28th amendment to the US constitution via a limited Article V Convention.
I then asked what are their thoughts on money buying influence, and asked if they have anything I the works on this subject.
And I specifically asked ""will you consider supporting me and the WolfPAC """,2 - Not Confirmed,IA
Art Staed,John Killean,10/19/17,Emailed legislator,"I wrote that we are Citizens' taking action to restore representative democracy with a 28th amendment to the US constitution via a limited Article V Convention.
I then asked what are their thoughts on money buying influence, and asked if they have anything I the works on this subject.
And I specifically asked ""will you consider supporting me and the WolfPAC """,3 - Unsupportive,IA
KirstenRunning-Marquardt,John Killean,10/19/17,Emailed legislator,"I wrote that we are Citizens' taking action to restore representative democracy with a 28th amendment to the US constitution via a limited Article V Convention.
I then asked what are their thoughts on money buying influence, and asked if they have anything I the works on this subject.
And I specifically asked ""will you consider supporting me and the WolfPAC """,1 - Supportive,IA
Art Staed,John Killean,10/21/17,email He Replied,"He wrote: ""Thank You for the comments and continued communication on this important issue. This next session, I will be looking closely at the bill language and implications of an Article V Convention.""

and he signed:
Thanks Again,
Rep Art Staed",2 - Not Confirmed,IA
Jim carlin,Eric Chase,11/10/17,Phone call with staff,Jim will be running for the special election for senate district 3 dec 12,2 - Not Confirmed,IA
Bobby Kaufmann,Wesley Clemens,11/15/17,Met Legislator,Open forum,2 - Not Confirmed,IA
Larry Campbell,Jeffrey,1/9/2017,Phone call with Legislator,"Said he was willing to sponsor so long as he ""agreed on the verbage"". It was in a very conversational manner like he is in favor but was distracted because he was driving (he was) sent him name of senate sponsor and he said he would follow up with senator and let me know when he progressed.",1 - Supportive,KS
Pete DeGraaf,Bryant,1/12/2017,Phone call with staff,Told assistant that I wanted to follow up with the Representative who had been in contact with a volunteer.,,KS
Nancy Lusk,Bryant,1/13/2017,Phone call with staff,Was following up with Rep. at Devin's request. Legislator asked to be calling the in AM. Did so but got only an assistant. Left message for Rep.,,KS
Stephanie Clayton,Devin,1/20/2017,Phone call with staff,Legislative Assistant listened to what I had to say. He said he would let her know I called on Monday and that she might contact Dan Kerschen. We should follow-up late next week.,2 - Not Confirmed,KS
Dennis Highberger,Devin,1/20/2017,Emailed legislator,Emailed Rep.,N/A,KS
Dennis Highberger,Devin,1/20/2017,Emailed legislator,Didn't feel like leaving a VM so I emailed him.,N/A,KS
Vic Miller,Devin,1/20/2017,Phone call with Legislator,"After a bit of chitchat about where I live, the fact his district is in the same town as where my wife lives, he become less defensive/questionable and stated that doesn't normally support legislation and never sponsors it (attaches his name to it). He is a new Representative though. He said he would be open to reading it if it ever came across his desk. I sent him an email with the resolution for what it's worth.",3 - Unsupportive,KS
Blake Carpenter,Devin,1/20/2017,VM and email,Left VM and email,N/A,KS
Tom Sawyer,Devin,1/20/2017,Phone call with Legislator,He says he is concerned and would like to review the resolution. He listened to what I had to say about 14 or the 27 amendments using this method. He says that we can call him back next week or the week after to follow-up. Very promising.,2 - Not Confirmed,KS
Rep Ruiz,Catherine Fisher,1/22/2017,Left voicemail,"I got the information to call him at http://kslegislature.org/li/b2017_18/members/rep_ruiz_louis_1/, but it seems as if the first number is disconnected, I tried the home number and left a voicemail. It still does not seem like his number. I will need to look into this more. ",N/A,KS
Tom Sawyer,Catherine Fisher,1/22/2017,Emailed legislator,Gave basic information and told him to contact me,N/A,KS
Stephanie Clayton,Jeffrey,1/23/2017,Phone call with staff,left my info. secretary sounded sad,N/A,KS
"Dennis""boog"" highberger",Jeffrey,1/23/2017,Left voicemail,VM left my info,N/A,KS
Vic Miller,Jeffrey,1/23/2017,Phone call with staff,left # with secretary. Her name was Bernie. ,N/A,KS
Blake Carpenter,Jeffrey,1/23/2017,Phone call with Legislator,ugh. in support of article 5 but wont sponsor,2 - Not Confirmed,KS
Dennis Highberger,Jeffrey,1/23/2017,Phone call with Legislator,Ugh. afraid of a runaway convention,2 - Not Confirmed,KS
John Whitmer,Jeffrey,1/23/2017,Left voicemail,the ususal. left info.,N/A,KS
Tom Sawyer,Jeffrey,1/23/2017,Left voicemail,left VM. didnt make any mark twain or rush jokes and im proud of that,N/A,KS
Russ Jennings,Courtney,1/23/2017,Emailed legislator,"Sent Follow up email. Spoke with him previously, seemed supportive, but not willing to sponsor. I asked if the resolution would have his vote. ",2 - Not Confirmed,KS
John Whitmer,Courtney ,1/23/2017,Emailed legislator,Emailed for 2nd time after leaving a previous VM and email. ,N/A,KS
Stephanie Clayton,Courtney,1/23/2017,Emailed legislator,Sent 3rd email after previous emails and VMs left,N/A,KS
Jeff Longbine,Courtney,1/17/2017,Emailed legislator,Left VM and Emailed,N/A,KS
Ty Masterson,Courtney,1/10/2017,Emailed legislator,Left VM and Email,N/A,KS
Robert Olson,Courtney,1/10/2017,Emailed legislator,"Sent email, no VM",2 - Not Confirmed,KS
Blake Carpenter,Courtney,1/23/2017,Emailed legislator,"Sent email, still can't talk very well since surgery",N/A,KS
"Dennis ""Boog"" Highberger",Courtney,1/23/2017,Emailed legislator,"Sent email, still can't talk very well since surgery",N/A,KS
Vic Miller,Courtney,1/23/2017,Emailed legislator,"Sent email, still can't talk very well since surgery",N/A,KS
Rep Sawyer,Catherine Fisher,1/23/2017,Phone call with staff,"I talked briefly with one of Rep. Sawyer's staff, I gave him my contact information and hopefully I will hear something back.",N/A,KS
"Dennis ""Boog"" Highberger",Courtney,1/23/2017,Emailed legislator,Received an email from him stating that he has concerns about how the convention can remain limited and having the convention controlled by Tea-Party states. I responded with more information on the Article V process to try to quell his concerns. He promises to give our resolution due consideration if it comes to a vote. ,2 - Not Confirmed,KS
Rep. Stephanie Clayton,Catherine Fisher,1/24/2017,Left voicemail,Left voicemail and my contact info ,N/A,KS
Michael Houser,Courtney ,1/30/2017,Emailed legislator,"Let VM, Sent Email",N/A,KS
Trevor Jacobs,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Kristey Williams,Courtney,1/30/2017,Emailed legislator,Sent Email,N/A,KS
John Wilson,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Melissa Rooker,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Jim Karleskint,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Francis Awerkamp,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Eric Smith,Courtney,1/30/2017,Emailed legislator,Sent Email,N/A,KS
Susan Humphries,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Tory Arnberger,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Broderick Henderson,Courtney,1/30/2017,Emailed legislator,"Left VM, Sent Email",N/A,KS
Francis Awerkamp,Courtney,1/30/2017,Emailed legislator,"Rep Awerkamp emailed me saying he understands the convention process. He said he is aware that there are many people concerned about this issue, so he would like to learn more.",2 - Not Confirmed,KS
Caryn Tyson,Patty Quinlan,1/26/2017,Left voicemail,Left message ,N/A,KS
Stephanie Clayton,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Broderick Henderson,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Tory Amberger,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Susan Humphries,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Eric Smith,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Francis Awerkamp,Patty Quinlan,1/26/2017,Left voicemail,Left Message,N/A,KS
Jim Kerleskint,Patty Quinlan,1/27/2017,Left voicemail,Left Message,N/A,KS
